Mã SKU,Tên hàng hóa,Đơn vị tính,Giá bán,% Thuế suất,Tên nhóm hàng,Tồn ban đầu
SP000001,Coca Cola Sleek 320ml,Lon,11000,8,Đồ uống & Giải khát,57
SP000002,Pepsi Sleek 320ml,Lon,10500,8,Đồ uống & Giải khát,64
SP000003,Nước cam ép Twister 450ml,Chai,12000,8,Đồ uống & Giải khát,71
SP000004,Trà xanh Không Độ 455ml,Chai,10000,8,Đồ uống & Giải khát,78
SP000005,Trà Ô Long Tea+ Plus 455ml,Chai,12000,8,Đồ uống & Giải khát,85
SP000006,Nước tăng lực Red Bull 250ml,Lon,14000,8,Đồ uống & Giải khát,92
SP000007,Nước khoáng Lavie 500ml,Chai,6000,8,Đồ uống & Giải khát,99
SP000008,Nước tinh khiết Aquafina 500ml,Chai,6000,8,Đồ uống & Giải khát,106
SP000009,Cà phê sữa đá Highlands 235ml,Lon,16000,8,Đồ uống & Giải khát,113
SP000010,Bia Heineken Sleek 330ml,Lon,22000,10,Đồ uống & Giải khát,120
SP000011,Bia Tiger Crystal 330ml,Lon,19500,10,Đồ uống & Giải khát,127
SP000012,Bia Sài Gòn Special 330ml,Lon,16500,10,Đồ uống & Giải khát,134
SP000013,Sữa tươi tiệt trùng Vinamilk 180ml,Hộp,8500,0,Đồ uống & Giải khát,141
SP000014,Sữa chua uống Susu 110ml,Chai,6500,0,Đồ uống & Giải khát,148
SP000015,Nước ép bưởi hồng Vfresh 1L,Hộp,39000,8,Đồ uống & Giải khát,155
SP000016,Bánh ChocoPie Orion hộp 12 cái,Hộp,58000,8,Bánh kẹo & Ăn vặt,162
SP000017,Bánh Cosy mè giòn rụm Kinh Đô 288g,Gói,29000,8,Bánh kẹo & Ăn vặt,169
SP000018,Snack khoai tây Ostar vị tảo biển 90g,Gói,19000,8,Bánh kẹo & Ăn vặt,176
SP000019,Snack khoai tây Lay's tự nhiên 95g,Gói,21000,8,Bánh kẹo & Ăn vặt,183
SP000020,Bánh que Pocky socola Glico 40g,Hộp,14000,8,Bánh kẹo & Ăn vặt,190
SP000021,Kẹo dẻo Chupa Chups Sour Tubes 160g,Gói,24000,8,Bánh kẹo & Ăn vặt,197
SP000022,Bánh mì tươi nhân bơ sữa Kinh Đô 80g,Cái,9000,8,Bánh kẹo & Ăn vặt,204
SP000023,Bánh xốp Nabati phô mai 130g,Hộp,12000,8,Bánh kẹo & Ăn vặt,211
SP000024,Hạt điều rang muối vỏ lụa Bình Phước 500g,Hộp,135000,8,Bánh kẹo & Ăn vặt,218
SP000025,Hạt hướng dương Chacheer 130g,Gói,15000,8,Bánh kẹo & Ăn vặt,225
SP000026,Rong biển sấy vị truyền thống TaoKaeNoi 32g,Gói,26000,8,Bánh kẹo & Ăn vặt,232
SP000027,Nước mắm Nam Ngư Đệ Nhị chai 900ml,Chai,28000,8,Gia vị & Đồ nấu nướng,239
SP000028,Nước mắm Chinsu Cá Hồi chai 500ml,Chai,47000,8,Gia vị & Đồ nấu nướng,246
SP000029,Dầu ăn Simply đậu nành can 1L,Chai,59000,8,Gia vị & Đồ nấu nướng,253
SP000030,Dầu ăn Neptune Gold can 2L,Chai,135000,8,Gia vị & Đồ nấu nướng,260
SP000031,Hạt nêm Knorr thịt thăn xương ống 400g,Gói,37000,8,Gia vị & Đồ nấu nướng,267
SP000032,Bột ngọt Ajinomoto gói 454g,Gói,34000,8,Gia vị & Đồ nấu nướng,274
SP000033,Tương ớt Chinsu nắp bật 250g,Chai,15000,8,Gia vị & Đồ nấu nướng,281
SP000034,Tương cà Cholimex chai 330g,Chai,16000,8,Gia vị & Đồ nấu nướng,288
SP000035,Muối I-ốt Bạc Liêu túi 500g,Gói,6000,8,Gia vị & Đồ nấu nướng,295
SP000036,Đường tinh luyện Biên Hòa Daily 1kg,Gói,31000,8,Gia vị & Đồ nấu nướng,302
SP000037,Mì tôm Hảo Hảo tôm chua cay 75g,Gói,4500,8,Mì gói & Thực phẩm khô,309
SP000038,Mì Omachi sườn hầm ngũ quả 80g,Gói,8500,8,Mì gói & Thực phẩm khô,316
SP000039,Mì trộn Indomie Mi Goreng 85g,Gói,6500,8,Mì gói & Thực phẩm khô,323
SP000040,Phở gà Đệ Nhất Acecook 68g,Gói,8000,8,Mì gói & Thực phẩm khô,330
SP000041,Miến Phú Hương yến tiệc 210g,Gói,22000,8,Mì gói & Thực phẩm khô,337
SP000042,Cháo thịt bằm Cung Đình gói 50g,Gói,7000,8,Mì gói & Thực phẩm khô,344
SP000043,Cá nục sốt cà 3 Cô Gái lon 155g,Lon,19000,8,Mì gói & Thực phẩm khô,351
SP000044,Pate thịt heo Hạ Long lon 150g,Lon,27000,8,Mì gói & Thực phẩm khô,358
SP000045,Mì ly Modern lẩu thái tôm 65g,Ly,9500,8,Mì gói & Thực phẩm khô,365
SP000046,Nước rửa chén Sunlight chanh can 3.6kg,Can,109000,10,Hóa mỹ phẩm & Tẩy rửa,372
SP000047,Nước giặt OMO Matic cửa trên túi 3.6kg,Túi,175000,10,Hóa mỹ phẩm & Tẩy rửa,379
SP000048,Nước xả vải Comfort đậm đặc túi 3.2L,Túi,189000,10,Hóa mỹ phẩm & Tẩy rửa,386
SP000049,Dầu gội Clear thảo dược mát lạnh 630g,Chai,165000,10,Hóa mỹ phẩm & Tẩy rửa,393
SP000050,Dầu gội Pantene suôn mượt 650ml,Chai,155000,10,Hóa mỹ phẩm & Tẩy rửa,400
SP000051,Sữa tắm Lifebuoy bảo vệ vượt trội 800g,Chai,149000,10,Hóa mỹ phẩm & Tẩy rửa,407
SP000052,Kem đánh răng Colgate Total 12 180g,Tuýp,42000,10,Hóa mỹ phẩm & Tẩy rửa,414
SP000053,Bàn chải đánh răng P/S than tre,Cái,18000,10,Hóa mỹ phẩm & Tẩy rửa,421
SP000054,Nước lau sàn Sunlight hoa lily túi 3.6kg,Túi,85000,10,Hóa mỹ phẩm & Tẩy rửa,428
SP000055,Xịt muỗi Raid hương cam chanh 600ml,Chai,68000,10,Hóa mỹ phẩm & Tẩy rửa,435
SP000056,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn,Lốc,92000,8,Đồ gia dụng & Tiện ích,442
SP000057,Khăn giấy lụa rút Paseo 200 tờ,Hộp,25000,8,Đồ gia dụng & Tiện ích,449
SP000058,Màng bọc thực phẩm PE Sunhouse 30cmx150m,Hộp,75000,8,Đồ gia dụng & Tiện ích,456
SP000059,Túi rác đen tự hủy sinh học Opec 3 cuộn,Gói,38000,8,Đồ gia dụng & Tiện ích,463
SP000060,Băng dính dán thùng trong suốt 5cm x 100y,Cuộn,16000,8,Đồ gia dụng & Tiện ích,470
SP000061,Pin tiểu AA Panasonic vỉ 4 viên,Vỉ,26000,8,Đồ gia dụng & Tiện ích,477
SP000062,Khẩu trang y tế 4 lớp kháng khuẩn hộp 50 cái,Hộp,35000,8,Đồ gia dụng & Tiện ích,484
SP000063,Nước rửa tay Lifebuoy hương chanh chai 450ml,Chai,52000,8,Đồ gia dụng & Tiện ích,491
SP000064,Coca Cola Sleek 320ml (Lô 2),Lon,11550,8,Đồ uống & Giải khát,498
SP000065,Pepsi Sleek 320ml (Lô 2),Lon,11025,8,Đồ uống & Giải khát,55
SP000066,Nước cam ép Twister 450ml (Lô 2),Chai,12600,8,Đồ uống & Giải khát,62
SP000067,Trà xanh Không Độ 455ml (Lô 2),Chai,10500,8,Đồ uống & Giải khát,69
SP000068,Trà Ô Long Tea+ Plus 455ml (Lô 2),Chai,12600,8,Đồ uống & Giải khát,76
SP000069,Nước tăng lực Red Bull 250ml (Lô 2),Lon,14700,8,Đồ uống & Giải khát,83
SP000070,Nước khoáng Lavie 500ml (Lô 2),Chai,6300,8,Đồ uống & Giải khát,90
SP000071,Nước tinh khiết Aquafina 500ml (Lô 2),Chai,6300,8,Đồ uống & Giải khát,97
SP000072,Cà phê sữa đá Highlands 235ml (Lô 2),Lon,16800,8,Đồ uống & Giải khát,104
SP000073,Bia Heineken Sleek 330ml (Lô 2),Lon,23100,10,Đồ uống & Giải khát,111
SP000074,Bia Tiger Crystal 330ml (Lô 2),Lon,20475,10,Đồ uống & Giải khát,118
SP000075,Bia Sài Gòn Special 330ml (Lô 2),Lon,17325,10,Đồ uống & Giải khát,125
SP000076,Sữa tươi tiệt trùng Vinamilk 180ml (Lô 2),Hộp,8925,0,Đồ uống & Giải khát,132
SP000077,Sữa chua uống Susu 110ml (Lô 2),Chai,6825,0,Đồ uống & Giải khát,139
SP000078,Nước ép bưởi hồng Vfresh 1L (Lô 2),Hộp,40950,8,Đồ uống & Giải khát,146
SP000079,Bánh ChocoPie Orion hộp 12 cái (Lô 2),Hộp,60900,8,Bánh kẹo & Ăn vặt,153
SP000080,Bánh Cosy mè giòn rụm Kinh Đô 288g (Lô 2),Gói,30450,8,Bánh kẹo & Ăn vặt,160
SP000081,Snack khoai tây Ostar vị tảo biển 90g (Lô 2),Gói,19950,8,Bánh kẹo & Ăn vặt,167
SP000082,Snack khoai tây Lay's tự nhiên 95g (Lô 2),Gói,22050,8,Bánh kẹo & Ăn vặt,174
SP000083,Bánh que Pocky socola Glico 40g (Lô 2),Hộp,14700,8,Bánh kẹo & Ăn vặt,181
SP000084,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 2),Gói,25200,8,Bánh kẹo & Ăn vặt,188
SP000085,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 2),Cái,9450,8,Bánh kẹo & Ăn vặt,195
SP000086,Bánh xốp Nabati phô mai 130g (Lô 2),Hộp,12600,8,Bánh kẹo & Ăn vặt,202
SP000087,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 2),Hộp,141750,8,Bánh kẹo & Ăn vặt,209
SP000088,Hạt hướng dương Chacheer 130g (Lô 2),Gói,15750,8,Bánh kẹo & Ăn vặt,216
SP000089,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 2),Gói,27300,8,Bánh kẹo & Ăn vặt,223
SP000090,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 2),Chai,29400,8,Gia vị & Đồ nấu nướng,230
SP000091,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 2),Chai,49350,8,Gia vị & Đồ nấu nướng,237
SP000092,Dầu ăn Simply đậu nành can 1L (Lô 2),Chai,61950,8,Gia vị & Đồ nấu nướng,244
SP000093,Dầu ăn Neptune Gold can 2L (Lô 2),Chai,141750,8,Gia vị & Đồ nấu nướng,251
SP000094,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 2),Gói,38850,8,Gia vị & Đồ nấu nướng,258
SP000095,Bột ngọt Ajinomoto gói 454g (Lô 2),Gói,35700,8,Gia vị & Đồ nấu nướng,265
SP000096,Tương ớt Chinsu nắp bật 250g (Lô 2),Chai,15750,8,Gia vị & Đồ nấu nướng,272
SP000097,Tương cà Cholimex chai 330g (Lô 2),Chai,16800,8,Gia vị & Đồ nấu nướng,279
SP000098,Muối I-ốt Bạc Liêu túi 500g (Lô 2),Gói,6300,8,Gia vị & Đồ nấu nướng,286
SP000099,Đường tinh luyện Biên Hòa Daily 1kg (Lô 2),Gói,32550,8,Gia vị & Đồ nấu nướng,293
SP000100,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 2),Gói,4725,8,Mì gói & Thực phẩm khô,300
SP000101,Mì Omachi sườn hầm ngũ quả 80g (Lô 2),Gói,8925,8,Mì gói & Thực phẩm khô,307
SP000102,Mì trộn Indomie Mi Goreng 85g (Lô 2),Gói,6825,8,Mì gói & Thực phẩm khô,314
SP000103,Phở gà Đệ Nhất Acecook 68g (Lô 2),Gói,8400,8,Mì gói & Thực phẩm khô,321
SP000104,Miến Phú Hương yến tiệc 210g (Lô 2),Gói,23100,8,Mì gói & Thực phẩm khô,328
SP000105,Cháo thịt bằm Cung Đình gói 50g (Lô 2),Gói,7350,8,Mì gói & Thực phẩm khô,335
SP000106,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 2),Lon,19950,8,Mì gói & Thực phẩm khô,342
SP000107,Pate thịt heo Hạ Long lon 150g (Lô 2),Lon,28350,8,Mì gói & Thực phẩm khô,349
SP000108,Mì ly Modern lẩu thái tôm 65g (Lô 2),Ly,9975,8,Mì gói & Thực phẩm khô,356
SP000109,Nước rửa chén Sunlight chanh can 3.6kg (Lô 2),Can,114450,10,Hóa mỹ phẩm & Tẩy rửa,363
SP000110,Nước giặt OMO Matic cửa trên túi 3.6kg (Lô 2),Túi,183750,10,Hóa mỹ phẩm & Tẩy rửa,370
SP000111,Nước xả vải Comfort đậm đặc túi 3.2L (Lô 2),Túi,198450,10,Hóa mỹ phẩm & Tẩy rửa,377
SP000112,Dầu gội Clear thảo dược mát lạnh 630g (Lô 2),Chai,173250,10,Hóa mỹ phẩm & Tẩy rửa,384
SP000113,Dầu gội Pantene suôn mượt 650ml (Lô 2),Chai,162750,10,Hóa mỹ phẩm & Tẩy rửa,391
SP000114,Sữa tắm Lifebuoy bảo vệ vượt trội 800g (Lô 2),Chai,156450,10,Hóa mỹ phẩm & Tẩy rửa,398
SP000115,Kem đánh răng Colgate Total 12 180g (Lô 2),Tuýp,44100,10,Hóa mỹ phẩm & Tẩy rửa,405
SP000116,Bàn chải đánh răng P/S than tre (Lô 2),Cái,18900,10,Hóa mỹ phẩm & Tẩy rửa,412
SP000117,Nước lau sàn Sunlight hoa lily túi 3.6kg (Lô 2),Túi,89250,10,Hóa mỹ phẩm & Tẩy rửa,419
SP000118,Xịt muỗi Raid hương cam chanh 600ml (Lô 2),Chai,71400,10,Hóa mỹ phẩm & Tẩy rửa,426
SP000119,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn (Lô 2),Lốc,96600,8,Đồ gia dụng & Tiện ích,433
SP000120,Khăn giấy lụa rút Paseo 200 tờ (Lô 2),Hộp,26250,8,Đồ gia dụng & Tiện ích,440
SP000121,Màng bọc thực phẩm PE Sunhouse 30cmx150m (Lô 2),Hộp,78750,8,Đồ gia dụng & Tiện ích,447
SP000122,Túi rác đen tự hủy sinh học Opec 3 cuộn (Lô 2),Gói,39900,8,Đồ gia dụng & Tiện ích,454
