Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Công ty TNHH Phân phối Việt Phát - CN 00001,0820000001,0100000001,ncc00001@việtphát.vn,"Số 11 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 00002,0820000002,0100000002,ncc00002@hưngthịnh.vn,"Số 12 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 00003,0820000003,0100000003,ncc00003@toànthắng.vn,"Số 13 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 00004,0820000004,0100000004,ncc00004@phúclộc.vn,"Số 14 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Doanh nghiệp Tư nhân Minh Châu - CN 00005,0820000005,0100000005,ncc00005@minhchâu.vn,"Số 15 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Thực phẩm Đại Nam - CN 00006,0820000006,0100000006,ncc00006@đạinam.vn,"Số 16 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 00007,0820000007,0100000007,ncc00007@hảiđăng.vn,"Số 17 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Đại lý Phân phối Cấp 1 Á Châu - CN 00008,0820000008,0100000008,ncc00008@áchâu.vn,"Số 18 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Phân phối Hoàng Kim - CN 00009,0820000009,0100000009,ncc00009@hoàngkim.vn,"Số 19 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Thương mại Thành Đạt - CN 00010,0820000010,0100000010,ncc00010@thànhđạt.vn,"Số 20 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Tổng Kho Đại lý Thiên Phú - CN 00011,0820000011,0100000011,ncc00011@thiênphú.vn,"Số 21 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 00012,0820000012,0100000012,ncc00012@tháibìnhdương.vn,"Số 22 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Doanh nghiệp Tư nhân Nam Việt - CN 00013,0820000013,0100000013,ncc00013@namviệt.vn,"Số 23 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Thực phẩm Đông Dương - CN 00014,0820000014,0100000014,ncc00014@đôngdương.vn,"Số 24 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 00015,0820000015,0100000015,ncc00015@giaphát.vn,"Số 25 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Đại lý Phân phối Cấp 1 Tân Tiến - CN 00016,0820000016,0100000016,ncc00016@tântiến.vn,"Số 26 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Phân phối Đức Trí - CN 00017,0820000017,0100000017,ncc00017@đứctrí.vn,"Số 27 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Thương mại An Bình - CN 00018,0820000018,0100000018,ncc00018@anbình.vn,"Số 28 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Tổng Kho Đại lý Khang Thịnh - CN 00019,0820000019,0100000019,ncc00019@khangthịnh.vn,"Số 29 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 00020,0820000020,0100000020,ncc00020@thịnhvượng.vn,"Số 30 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Doanh nghiệp Tư nhân Việt Phát - CN 00021,0820000021,0100000021,ncc00021@việtphát.vn,"Số 31 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Thực phẩm Hưng Thịnh - CN 00022,0820000022,0100000022,ncc00022@hưngthịnh.vn,"Số 32 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
